raw_tag,code
leisure=park,GI01
leisure=garden,GI02
leisure=common,GI03
leisure=playground,GI04
landuse=grass,GI05
landuse=meadow,GI06
natural=grassland,GI07
natural=wood,GI08
landuse=forest,GI09
natural=scrub,GI10
natural=heath,GI11
natural=tree,GI12
natural=water&water=lake,BI01
natural=water&water=pond,BI02
natural=water&water=basin,BI03
natural=water&water=fishpond,BI04
amenity=fountain,BI05
natural=water&water=reflecting_pool,BI06
waterway=river,BI07
waterway=stream,BI08
waterway=canal,BI09
