"poi_type","decay_coefficient","choquet_interactions","tags","labels"
"organised_sport_indoor","24","[None,-0.03,0.05,0.07]","[{""leisure"": ""ice_rink""}, {""sport"": ""climbing"", ""leisure"": [""sports_centre"", ""fitness_centre""]}, {""leisure"": ""sports_centre""}, {""leisure"": ""bowling_alley""}]","[""leisure_ice_rink"", ""sport_climbing"", ""leisure_climbing"", ""leisure_fitness_centre"", ""leisure_sports_centre"", ""F110"", ""F114"", ""F119"", ""F124"", ""F127"", ""F129"", ""leisure_bowling_alley"", ""sport_fitness""]"
"organized_sport_outdoor","24","[-0.03,None,0.07,0.05]","[{""leisure"": ""pitch"", ""access"": [""private"", ""customers"", ""members""]}, {""leisure"": ""sports_centre"", ""sport"": [""soccer"", ""tennis"", ""athletics"", ""golf"", ""equestrian"", ""rugby"", ""baseball"", ""motor"", ""horse_racing""]}, {""leisure"": ""track""}, {""leisure"": ""golf_course""}, {""leisure"": ""stadium""}, {""leisure"": ""horse_riding""}, {""leisure"": ""disc_golf_course""}, {""leisure"": ""miniature_golf""}]","[""leisure_pitch"", ""leisure_sports_centre"", ""route_hiking"", ""leisure_track"", ""leisure_golf_course"", ""route_running"", ""leisure_skatepark"", ""sport_climbing"", ""F102"", ""F103"", ""F105"", ""F106"", ""F107"", ""F108"", ""F122"", ""F123"", ""F125"", ""leisure_stadium"", ""leisure_fitness_station"", ""leisure_horse_riding"", ""leisure_disc_golf_course"", ""leisure_miniature_golf""]"
"informal_sport_indoor","14.4","[0.05,0.07,None,-0.03]","[{""leisure"": ""fitness_centre""}, {""sport"": ""fitness""}, {""leisure"": ""swimming_pool"", ""indoor"": ""yes""}, {""leisure"": ""swimming_pool"", ""building"": ""yes""}, {""leisure"": ""dance""}]","[""leisure_sports_centre"", ""leisure_fitness_centre"", ""F116"", ""F120"", ""F121"", ""leisure_swimming_pool"", ""leisure_dance""]"
"informal_sport_outdoor","14.4","[0.07,0.05,-0.03,None]","[{""leisure"": ""pitch""}, {""leisure"": ""skatepark""}, {""leisure"": ""swimming_area""}, {""leisure"": ""swimming_pool""}, {""leisure"": ""marina""}, {""route"": ""hiking""}, {""route"": ""running""}, {""sport"": ""climbing""}, {""leisure"": ""climbing""}, {""leisure"": ""fitness_station""}, {""leisure"": ""nature_reserve""}, {""natural"": ""beach""}, {""leisure"": ""slipway""}]","[""leisure_pitch"", ""leisure_track"", ""leisure_skatepark"", ""leisure_swimming_area"", ""leisure_swimming_pool"", ""leisure_marina"", ""route_hiking"", ""route_running"", ""sport_climbing"", ""leisure_climbing"", ""F109"", ""F101"", ""F111"", ""F113"", ""F118"", ""F126"", ""F128"", ""F130"", ""F201"", ""F202"", ""F203"", ""F204"", ""leisure_fitness_station"", ""leisure_nature_reserve"", ""natural_beach"", ""leisure_slipway""]"
"designed_aesthetic","36","[None,-0.05,0,0.07]","[{""tourism"": ""attraction""}, {""leisure"": ""garden""}, {""amenity"": ""fountain""}, {""tourism"": ""artwork""}, {""tourism"": ""viewpoint""}, {""historic"": ""monument""}, {""historic"": ""memorial""}]","[""tourism_attraction"", ""leisure_garden"", ""amenity_fountain"", ""F313"", ""GI02"", ""BI05"", ""BI06"", ""tourism_artwork"", ""tourism_viewpoint"", ""historic_monument"", ""historic_memorial""]"
"managed_aesthetic","36","[-0.05,None,0.0,0.05]","[{""leisure"": ""park""}, {""amenity"": ""library""}, {""leisure"": ""playground""}, {""leisure"": ""recreation_ground""}]","[""leisure_park"", ""amenity_library"", ""leisure_playground"", ""leisure_recreation_ground"", ""GI01"", ""F307"", ""GI03"", ""GI04""]"
"spontaneous_aesthetic","24","[0.0,0.0,None,-0.03]","[{""natural"": [""grassland"", ""heath""]}, {""landuse"": [""meadow""]}, {""natural"": ""scrub""}, {""natural"": ""fell""}, {""landuse"": ""grass""}]","[""natural_grassland"", ""natural_heath"", ""landuse_meadow"", ""GI06"", ""GI07"", ""GI11"", ""natural_scrub"", ""natural_fell"", ""landuse_grass""]"
"natural_aesthetic","24","[0.07,0.05,-0.03,None]","[{""waterway"": ""river""}, {""waterway"": ""stream""}, {""waterway"": ""canal""}, {""natural"": ""water""}, {""natural"": ""wood""}, {""landuse"": ""forest""}, {""natural"": ""coastline""}, {""natural"": ""beach""}, {""natural"": ""cliff""}, {""waterway"": ""waterfall""}]","[""waterway_river"", ""waterway_stream"", ""waterway_canal"", ""natural_water"", ""natural_wood"", ""landuse_forest"", ""BI07"", ""BI08"", ""BI01"", ""GI08"", ""GI09"", ""natural_coastline"", ""natural_beach"", ""natural_cliff"", ""waterway_waterfall""]"
"deep_quietness","36","[None,-0.03,0.05]","[{""leisure"": ""nature_reserve""}, {""boundary"": [""national_park"", ""protected_area""]}]","[""landuse_forest"", ""GI09"", ""natural_wood"", ""leisure_nature_reserve"", ""boundary_national_park"", ""boundary_protected_area""]"
"moderate_quietness","24","[-0.03,None,-0.03]","[{""natural"": [""wood"", ""grassland""]}, {""landuse"": [""forest"", ""meadow""]}]","[""natural_wood"", ""natural_grassland"", ""GI08"", ""GI07"", ""landuse_forest"", ""landuse_meadow""]"
