node_id,lat,lon,omi_zone,omi_zone_label,buy_price_eur_sqm_month,rent_price_eur_sqm_month,housing_category
265659781,39.2168953,9.1790168,D16,CAGLIARI - Zona OMI D16,20.3491,11.4,Q3
265659817,39.2126186,9.1673001,D16,CAGLIARI - Zona OMI D16,20.3491,11.4,Q3
265659911,39.205423,9.1620088,D16,CAGLIARI - Zona OMI D16,20.3491,11.4,Q3
265659912,39.2039026,9.1613782,D16,CAGLIARI - Zona OMI D16,20.3491,11.4,Q3
265659916,39.2012362,9.1594082,D16,CAGLIARI - Zona OMI D16,20.3491,11.4,Q3
265659926,39.1947553,9.1571858,D16,CAGLIARI - Zona OMI D16,20.3491,11.4,Q3
265669554,39.2210183,9.1028649,C3,CAGLIARI - Zona OMI C3,15.0032,10.8,Q4
265669562,39.2301165,9.0986985,D2,CAGLIARI - Zona OMI D2,13.796,9.0,Q4
291582989,39.1616857,9.0282201,E1,CAGLIARI - Zona OMI E1,5.8633,3.6,Q5
291584378,39.1705414,9.0357608,E1,CAGLIARI - Zona OMI E1,5.8633,3.6,Q5
291584384,39.1883169,9.0545633,E1,CAGLIARI - Zona OMI E1,5.8633,3.6,Q5
291584394,39.2082072,9.0573237,E1,CAGLIARI - Zona OMI E1,5.8633,3.6,Q5
291584395,39.2116442,9.0563121,E1,CAGLIARI - Zona OMI E1,5.8633,3.6,Q5
291584412,39.2238103,9.0609289,E1,CAGLIARI - Zona OMI E1,5.8633,3.6,Q5
291584426,39.225475,9.0763596,E1,CAGLIARI - Zona OMI E1,5.8633,3.6,Q5
291584812,39.175798,9.0410977,E1,CAGLIARI - Zona OMI E1,5.8633,3.6,Q5
291585357,39.2026436,9.0589596,E1,CAGLIARI - Zona OMI E1,5.8633,3.6,Q5
291585468,39.1596709,9.0268664,E1,CAGLIARI - Zona OMI E1,5.8633,3.6,Q5
291927192,39.2017311,9.0591272,E1,CAGLIARI - Zona OMI E1,5.8633,3.6,Q5
291927228,39.224804,9.0787152,E1,CAGLIARI - Zona OMI E1,5.8633,3.6,Q5
291927260,39.2258637,9.0749698,E1,CAGLIARI - Zona OMI E1,5.8633,3.6,Q5
291927310,39.1995828,9.0597482,E1,CAGLIARI - Zona OMI E1,5.8633,3.6,Q5
291927385,39.2258879,9.0685866,E1,CAGLIARI - Zona OMI E1,5.8633,3.6,Q5
291927461,39.2175175,9.0987997,D14,CAGLIARI - Zona OMI D14,9.6572,6.3,Q5
291950057,39.1984687,9.0601231,E1,CAGLIARI - Zona OMI E1,5.8633,3.6,Q5
293851905,39.2263477,9.0942922,D14,CAGLIARI - Zona OMI D14,9.6572,6.3,Q5
293876630,39.2548651,9.0911184,D9,CAGLIARI - Zona OMI D9,11.7266,7.92,Q5
297411543,39.235469,9.1270685,D13,CAGLIARI - Zona OMI D13,13.4511,9.3,Q5
297414194,39.2037539,9.1410997,D3,CAGLIARI - Zona OMI D3,15.1756,10.02,Q4
297414210,39.2139589,9.1429844,C4,CAGLIARI - Zona OMI C4,17.245,11.52,Q4
