service,poi_types,choquet_capacity,contribution_constant
sport_and_movement,"['leisure_sports_centre', 'leisure_swimming_pool', 'leisure_pitch', 'leisure_track', 'leisure_golf_course', 'leisure_ice_rink', 'leisure_fitness_centre', 'leisure_skatepark', 'sport_climbing', 'leisure_climbing', 'leisure_swimming_area', 'leisure_marina', 'route_hiking', 'route_running']","[1.0, 0.8, 0.6, 0.6, 0.4, 0.4, 0.8, 0.4, 0.6, 0.6, 0.4, 0.4, 0.4, 0.4]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
scenic_views,"['tourism_attractions', 'leisure_park', 'leisure_garden', 'natural_water', 'amenity_fountain', 'waterway_canal', 'waterway_stream', 'waterway_river']","[1.0, 0.8, 0.8, 1.0, 0.6, 0.6, 0.6, 0.8]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
quietness,"['leisure_park', 'leisure_garden', 'amenity_library']","[0.6, 0.6, 1.0]","[2.0, 2.0, 2.0]"
nature_contact,"['leisure_park', 'leisure_garden', 'natural_water', 'amenity_fountain', 'waterway_canal', 'waterway_stream', 'waterway_river']","[0.8, 0.8, 1.0, 0.4, 0.6, 0.6, 0.8]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
cultural_activities,"['amenity_library', 'amenity_cinema', 'amenity_theatre', 'amenity_arts_centre', 'tourism_museum', 'historic_tourism_attraction', 'amenity_community_centre']","[0.8, 0.8, 0.8, 0.6, 0.8, 0.4, 0.4]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
care_services,"['amenity_community_centre', 'healthcare_clinic', 'social_facility_assisted_living', 'amenity_retirement_home', 'healthcare_midwife', 'healthcare_nurse', 'healthcare_dialysis', 'healthcare_home_care', 'healthcare_speciality_addiction_medicine', 'healthcare_centre_speciality_maternal_child_health', 'social_facility_nursing_home', 'social_facility_day_care', 'social_facility_group_home', 'social_facility_shelter', 'social_facility_workshop', 'social_facility_assisted_living_only', 'amenity_shelter', 'amenity_refugee_site', 'amenity_social_facility']","[0.4, 0.6, 0.8, 0.8, 0.6, 0.6, 0.6, 0.8, 0.4, 0.6, 1.0, 0.4, 0.6, 0.6, 0.4, 0.8, 0.6, 0.4, 0.6]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
eating_out,"['amenity_restaurant', 'amenity_fast_food', 'shop_bakery', 'shop_pastry']","[1.0, 0.8, 0.4, 0.4]","[2.0, 2.0, 2.0, 2.0]"
fresh_food_access,"['shop_bakery', 'shop_convenience', 'shop_supermarket', 'shop_greengrocer', 'shop_butcher', 'shop_fishmonger']","[0.6, 0.6, 1.0, 0.8, 0.8, 0.8]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
ready_food_access,"['shop_convenience', 'shop_frozen_food', 'shop_beverages']","[0.8, 0.6, 0.4]","[2.0, 2.0, 2.0]"
medicines_and_supplies,"['shop_medical_supply', 'shop_healthcare', 'amenity_pharmacy', 'healthcare_pharmacy']","[0.8, 0.6, 1.0, 1.0]","[2.0, 2.0, 2.0, 2.0]"
impatient_and_care,"['amenity_hospital', 'healthcare_hospital', 'amenity_clinic', 'healthcare_clinic', 'healthcare_centre', 'amenity_emergency_service_emergency_yes', 'social_facility_assisted_living', 'amenity_retirement_home']","[1.0, 1.0, 0.8, 0.8, 0.8, 1.0, 0.6, 0.6]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
emergency_services,"['amenity_hospital', 'healthcare_hospital', 'healthcare_blood_donation', 'emergency_department', 'healthcare_speciality_obstetrics', 'amenity_ambulance_station', 'emergency_ambulance_station']","[1.0, 1.0, 0.4, 1.0, 0.6, 0.8, 0.8]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
diagnosis_and_prevention,"['amenity_clinic', 'healthcare_clinic', 'healthcare_centre', 'healthcare_psychologist', 'healthcare_physiotherapist', 'healthcare_specialty_psychiatry', 'healthcare_centre_speciality_preventive_medicine', 'healthcare_clinic_speciality_preventive_medicine', 'healthcare_centre_facility_multi_speciality', 'healthcare_clinic_facility_multi_speciality', 'healthcare_podiatrist', 'healthcare_laboratory', 'amenity_clinic_speciality_laboratory_medicine', 'healthcare_blood_donation', 'blood_donation_transfusion', 'amenity_doctors', 'healthcare_doctor', 'amenity_dentist', 'healthcare_dentist']","[0.8, 0.8, 0.8, 0.6, 0.4, 0.6, 0.8, 0.8, 1.0, 1.0, 0.4, 1.0, 1.0, 0.2, 0.2, 1.0, 1.0, 0.8, 0.8]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
rehabilitation_services,"['healthcare_prosthetics', 'healthcare_occupational_therapist', 'healthcare_psychomotrician', 'healthcare_dietitian', 'office_healthcare_speciality_dietitian', 'healthcare_psychologist', 'healthcare_physiotherapist', 'amenity_spa', 'leisure_spa']","[1.0, 0.8, 0.6, 0.6, 0.6, 0.6, 1.0, 0.6, 0.6]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
