node_id,road,house_number,neighborhood,suburb
10017886812,Via delle Langhe,9,,San Michele
10017910631,Via delle Langhe,14,,San Michele
10092095606,Via della Rinascita,,,Sant'Avendrace-Santa Gilla
10092095607,Via della Rinascita,9,,Sant'Avendrace-Santa Gilla
10092095609,Via della Rinascita,27,,Sant'Avendrace-Santa Gilla
10092095610,Via della Rinascita,27,,Sant'Avendrace-Santa Gilla
10092095611,Via della Rinascita,27,,Sant'Avendrace-Santa Gilla
10092095612,Via della Rinascita,17,,Sant'Avendrace-Santa Gilla
10092095613,Vico di Via della Rinascita,25,,Sant'Avendrace-Santa Gilla
10125574081,Viale La Plaia,11,,Stampaxi/Stampace
10125574082,Viale La Plaia,13,,Stampaxi/Stampace
10147108261,Via Gherardo delle Notti,12,,Mulinu Becciu
10147108266,Via Mario De Martis,5,,Mulinu Becciu
10147108267,Via Mario De Martis,,,Mulinu Becciu
10147108277,Via Piero della Francesca,1,,Mulinu Becciu
10147108298,Via Redipuglia,2,,San Michele
10159726472,Via dei Falconi,10,,Bonaria
10159726487,Via dei Falconi,10,,Bonaria
10159726488,Via dei Falconi,10,,Bonaria
10159726489,Via dei Falconi,10,,Bonaria
10159726494,Via dei Falconi,,,Bonaria
10159726505,Via dei Falconi,,,Bonaria
10159726508,Via dei Falconi,10,,Bonaria
10174676162,,,,Sant'Avendrace-Santa Gilla
10174676173,,,,Sant'Avendrace-Santa Gilla
10174676211,Dorsale Consortile,,,Sant'Avendrace-Santa Gilla
10174676212,Dorsale Consortile,,,Sant'Avendrace-Santa Gilla
10174708550,,,,
10174708551,,,,Sant'Avendrace-Santa Gilla
10174708554,,,,Sant'Avendrace-Santa Gilla
10174708555,,,,Sant'Avendrace-Santa Gilla
10174708590,,,,Sant'Avendrace-Santa Gilla
10174708595,,,,Sant'Avendrace-Santa Gilla
10174708598,,,,Sant'Avendrace-Santa Gilla
10174708688,Strada Statale 195 var Sulcitana,,,Sant'Avendrace-Santa Gilla
10174708720,,,,Sant'Avendrace-Santa Gilla
10174708777,,,,
10174708817,Strada Statale 195 var Sulcitana,,,Sant'Avendrace-Santa Gilla
