SERVICE: sport_and_movement
  POI_TYPE: leisure_sports_centre (tags={'leisure': 'sports_centre'})
  COUNT: 66
    - Step & fitness | id=2849940324 | lat=39.226794 lon=9.133378
    - Body Sport | id=4438870384 | lat=39.217855 lon=9.109231
    - Oratorio Mercedario | id=11212068701 | lat=39.208963 lon=9.124855
    - Windsurfing Club Cagliari | id=14404161 | lat=39.193888 lon=9.158920
    - S'Avanzada | id=14907232 | lat=39.223436 lon=9.117563
    - Orange Marina Padel Club | id=17446955 | lat=39.202203 lon=9.129342
    - Ippodromo | id=24443852 | lat=39.211861 lon=9.169243
    - AcquaSport | id=24443858 | lat=39.204548 lon=9.133283
    - Centro Sportivo "Giuseppe Belly" | id=32591188 | lat=39.213053 lon=9.125295
    - leisure_sports_centre (118568276) | id=118568276 | lat=39.221468 lon=9.109084
    - leisure_sports_centre (118591681) | id=118591681 | lat=39.229233 lon=9.137922
    - leisure_sports_centre (118644353) | id=118644353 | lat=39.250862 lon=9.120849
    - Piscina Comunale | id=146850258 | lat=39.204632 lon=9.133625
    - leisure_sports_centre (155152129) | id=155152129 | lat=39.228876 lon=9.136591
    - leisure_sports_centre (189820066) | id=189820066 | lat=39.208551 lon=9.141296
    - Polisportiva Johannes | id=189820849 | lat=39.234237 lon=9.109726
    - Centro Universitario Sportivo | id=277183950 | lat=39.231525 lon=9.112525
    - Campo ad ostacoli Generale Rossi | id=277183951 | lat=39.202459 lon=9.142349
    - Centro Sportivo Bonaria | id=277183957 | lat=39.209218 lon=9.126627
    - Centro Sportivo Bonaria | id=277183958 | lat=39.209811 lon=9.126905
    - Centro Sportivo Ferrini Cagliari | id=277183959 | lat=39.244956 lon=9.147781
    - Centro Sportivo Parrocchiale A. Pittaluga | id=277183960 | lat=39.203643 lon=9.150455
    - leisure_sports_centre (277184027) | id=277184027 | lat=39.215424 lon=9.101573
    - Campi Sportivi Oratorio San Paolo | id=277184092 | lat=39.228025 lon=9.125453
    - Palazzetto Dello Sport | id=277184100 | lat=39.202411 lon=9.135438
    - RariNantes | id=277184106 | lat=39.205268 lon=9.125417
    - Polisportiva "Le Saline" | id=277184108 | lat=39.206845 lon=9.144338
    - Polisportiva Esperia | id=277184109 | lat=39.202642 lon=9.138165
    - Società Sportiva Marcozzi | id=277184169 | lat=39.257642 lon=9.099133
    - Sporting Club Aquila | id=277184172 | lat=39.204760 lon=9.125639
    - Stadio Amsicora | id=277184173 | lat=39.204365 lon=9.140467
    - leisure_sports_centre (277187531) | id=277187531 | lat=39.241378 lon=9.104017
    - leisure_sports_centre (277195529) | id=277195529 | lat=39.250718 lon=9.121138
    - leisure_sports_centre (277195622) | id=277195622 | lat=39.233012 lon=9.105113
    - leisure_sports_centre (277195632) | id=277195632 | lat=39.241000 lon=9.104508
    - leisure_sports_centre (277195714) | id=277195714 | lat=39.236954 lon=9.102066
    - A.S.D. Sigma Calcio | id=277195717 | lat=39.230860 lon=9.131446
