id,lon,lat
d0,9.0206203,39.1624461
d1,9.0304935,39.1650632
d2,9.0302825,39.1666441
d3,9.0299427,39.1674105
d4,9.0333197,39.1677057
d5,9.0300345,39.1678524
d6,9.030151,39.1679733
d7,9.0305077,39.1683497
d8,9.0314326,39.1684038
d9,9.0330249,39.1684046
d10,9.0319595,39.1689827
d11,9.0344928,39.1690289
d12,9.0323923,39.1693965
d13,9.0383768,39.1737483
d14,9.030036,39.1742336
d15,9.0305501,39.1743022
d16,9.0279825,39.1760856
d17,9.0286934,39.1762324
d18,9.029404,39.1763808
d19,9.1589327,39.1818683
d20,9.161278,39.1833957
d21,9.159729,39.1834388
d22,9.1608405,39.183604
d23,9.1613578,39.1836745
d24,9.1610333,39.1838426
d25,9.1475914,39.1845556
d26,9.1524227,39.1867476
d27,9.1516115,39.1868371
d28,9.1422235,39.1869085
d29,9.1533797,39.187482
d30,9.1656181,39.1878537
d31,9.1656542,39.1878841
d32,9.1514718,39.1881276
d33,9.1657858,39.1881922
d34,9.1656596,39.1882924
d35,9.1531447,39.1884424
d36,9.1652493,39.1886558
d37,9.1650328,39.1887141
d38,9.1409357,39.1889735
d39,9.1680613,39.1892304
d40,9.1681085,39.1892827
d41,9.1413145,39.1892956
d42,9.1407768,39.1899166
d43,9.1500569,39.1899821
d44,9.1397698,39.1900524
d45,9.1393099,39.1902984
d46,9.1405133,39.1903317
d47,9.1652297,39.1903719
d48,9.1394487,39.1903965
d49,9.14056,39.1904429
d50,9.1403791,39.1904689
d51,9.140751,39.1905199
d52,9.1397162,39.1905856
d53,9.1406982,39.1907665
d54,9.1399965,39.1907882
d55,9.1399376,39.1908645
d56,9.1393249,39.1908748
d57,9.1399918,39.1908863
d58,9.1495271,39.1909398
d59,9.1495149,39.1909793
d60,9.1403156,39.1911048
d61,9.1398974,39.1911202
d62,9.1616654,39.1911599
d63,9.1382691,39.1912578
d64,9.1607633,39.191286
d65,9.1448873,39.1913904
d66,9.1397398,39.191392
d67,9.1400227,39.1913989
d68,9.1391112,39.1914884
d69,9.1614933,39.1915094
d70,9.1408216,39.1915358
d71,9.1406992,39.1915577
d72,9.1501013,39.1916068
d73,9.1403363,39.1916488
d74,9.1403082,39.1916633
d75,9.1374588,39.1917323
d76,9.1451709,39.1917614
d77,9.1375444,39.1917985
d78,9.1407361,39.191819
d79,9.1409112,39.1918379
d80,9.1407236,39.1918706
d81,9.1450644,39.1919148
d82,9.1404246,39.1920418
d83,9.1405338,39.1920661
d84,9.1523,39.1923063
d85,9.1615697,39.1923996
d86,9.1391856,39.1924001
d87,9.1524492,39.1924022
d88,9.1407474,39.1924379
d89,9.1389568,39.1925023
d90,9.1397358,39.1925124
d91,9.1523198,39.1925387
d92,9.1388152,39.1925788
d93,9.138809,39.1926143
d94,9.1598002,39.1926464
d95,9.1402839,39.1926844
d96,9.1615337,39.1927034
d97,9.1387398,39.1927981
d98,9.1597364,39.1927991
d99,9.1386917,39.1928383
d100,9.1371095,39.193048
d101,9.1599944,39.1930939
d102,9.1384007,39.1931386
d103,9.1596612,39.1931763
d104,9.1353089,39.1932609
d105,9.1398167,39.1932719
d106,9.1361364,39.1934353
d107,9.1356393,39.1934831
d108,9.1584131,39.1935638
d109,9.1599691,39.1935658
d110,9.1574079,39.1938323
d111,9.1351045,39.1939242
d112,9.157852,39.1942741
d113,9.1567569,39.1943216
d114,9.061493,39.1943253
d115,9.1568771,39.1943352
d116,9.156255,39.1943535
d117,9.1552778,39.1943922
d118,9.157842,39.1944782
d119,9.1577014,39.1945561
d120,9.1585586,39.1946702
d121,9.1586689,39.1946789
d122,9.1574773,39.1946803
d123,9.1574286,39.1947073
d124,9.1586231,39.1947186
d125,9.1571858,39.1947553
d126,9.0598538,39.1947926
d127,9.0623763,39.1948422
d128,9.1575472,39.1950951
d129,9.1536429,39.1951894
d130,9.1590419,39.1952203
d131,9.1590685,39.1953032
d132,9.1409039,39.19537
d133,9.1584536,39.19539
d134,9.1576636,39.1954984
d135,9.1347456,39.1956871
d136,9.1459607,39.1958749
d137,9.1469119,39.1961483
d138,9.1456709,39.1961773
d139,9.1423643,39.1961822
d140,9.1513777,39.1964029
d141,9.1502263,39.1964164
d142,9.1593419,39.1964852
d143,9.1470839,39.1964948
d144,9.1593565,39.1965784
d145,9.1459348,39.1965909
d146,9.14604,39.1966231
d147,9.1593715,39.1966517
d148,9.1587365,39.1966618
d149,9.1478904,39.196702
d150,9.133414,39.1967169
d151,9.1467237,39.1967573
d152,9.1577995,39.1967803
d153,9.1519324,39.1967939
d154,9.1519943,39.1968104
d155,9.1517987,39.1968489
d156,9.1522362,39.1968644
d157,9.1578313,39.1968845
d158,9.1533906,39.1969858
d159,9.1446647,39.1969934
d160,9.1519614,39.1970212
d161,9.133653,39.1971689
d162,9.1442145,39.1971931
d163,9.133679,39.1971998
d164,9.1499322,39.1972531
d165,9.1443456,39.1972697
d166,9.1506479,39.1972879
d167,9.1532663,39.1973303
d168,9.141189,39.1973319
d169,9.1348979,39.1974438
d170,9.1477032,39.1974825
d171,9.1524149,39.1975187
d172,9.1504043,39.1975786
d173,9.1510304,39.1976712
d174,9.1520228,39.1977456
d175,9.1532078,39.197755
d176,9.1524791,39.1978934
d177,9.1523132,39.1979869
d178,9.1498872,39.1980504
d179,9.1530851,39.1981437
d180,9.1493679,39.1981641
d181,9.1597297,39.1982614
d182,9.1529048,39.1982796
d183,9.148055,39.1982828
d184,9.1496099,39.1982902
d185,9.148144,39.1982975
d186,9.148,39.1983128
d187,9.1514358,39.1983688
d188,9.1597587,39.1983917
d189,9.1519401,39.1984222
d190,9.1597753,39.1984576
d191,9.1483881,39.1985393
d192,9.1597975,39.198558
d193,9.1583549,39.1986019
d194,9.1520978,39.1986027
d195,9.1596226,39.1986257
d196,9.1503886,39.1986775
d197,9.1503528,39.1986986
d198,9.1482122,39.1987041
d199,9.1583854,39.1987206
d200,9.1485041,39.1988024
d201,9.1469805,39.1988687
d202,9.1468813,39.1989228
d203,9.1478102,39.1990016
d204,9.151264,39.1992009
d205,9.1472564,39.1992437
d206,9.1493175,39.1992848
d207,9.1473502,39.1992873
d208,9.1389261,39.199436
d209,9.1383188,39.1994606
