node_id,capability,sigma,modal_class,stability
31498903,restorativeness,0.02,High,1.0
265659781,restorativeness,0.02,High,0.815
265659817,restorativeness,0.02,Very High,0.97
265659911,restorativeness,0.02,Very High,0.985
265659912,restorativeness,0.02,Very High,1.0
265659916,restorativeness,0.02,Very High,1.0
265659926,restorativeness,0.02,Very High,1.0
265669554,restorativeness,0.02,Very High,1.0
265669562,restorativeness,0.02,Very High,1.0
291582989,restorativeness,0.02,Very High,0.995
291584378,restorativeness,0.02,Medium,1.0
291584384,restorativeness,0.02,Medium,0.995
291584394,restorativeness,0.02,Medium,1.0
291584395,restorativeness,0.02,Medium,1.0
291584412,restorativeness,0.02,High,0.995
291584426,restorativeness,0.02,High,1.0
291584812,restorativeness,0.02,Medium,1.0
291585357,restorativeness,0.02,Medium,1.0
291585468,restorativeness,0.02,Very High,1.0
291927192,restorativeness,0.02,Medium,1.0
291927228,restorativeness,0.02,High,1.0
291927260,restorativeness,0.02,High,1.0
291927310,restorativeness,0.02,Medium,1.0
291927385,restorativeness,0.02,High,1.0
291927461,restorativeness,0.02,High,0.95
291950057,restorativeness,0.02,Medium,1.0
293850002,restorativeness,0.02,High,0.975
293850123,restorativeness,0.02,High,1.0
293850151,restorativeness,0.02,High,1.0
293851624,restorativeness,0.02,High,0.685
293851905,restorativeness,0.02,Very High,1.0
293874114,restorativeness,0.02,High,1.0
293876118,restorativeness,0.02,High,1.0
293876279,restorativeness,0.02,High,1.0
293876630,restorativeness,0.02,Very High,1.0
297411543,restorativeness,0.02,Very High,1.0
297414194,restorativeness,0.02,Very High,1.0
297414210,restorativeness,0.02,Very High,1.0
297414218,restorativeness,0.02,Very High,1.0
299641717,restorativeness,0.02,Very High,1.0
301801838,restorativeness,0.02,Very High,1.0
301802251,restorativeness,0.02,Very High,1.0
301802471,restorativeness,0.02,Very High,1.0
301802511,restorativeness,0.02,Very High,1.0
301806842,restorativeness,0.02,Very High,1.0
301807418,restorativeness,0.02,Very High,1.0
301811627,restorativeness,0.02,Very High,1.0
301813602,restorativeness,0.02,Very High,1.0
301814428,restorativeness,0.02,Very High,1.0
302742175,restorativeness,0.02,Very High,1.0
302742232,restorativeness,0.02,Very High,1.0
302742300,restorativeness,0.02,Very High,1.0
302742354,restorativeness,0.02,Very High,1.0
302742399,restorativeness,0.02,Very High,1.0
302742478,restorativeness,0.02,Very High,1.0
302742975,restorativeness,0.02,Very High,1.0
302743086,restorativeness,0.02,Very High,1.0
302743402,restorativeness,0.02,Very High,1.0
302743453,restorativeness,0.02,Very High,1.0
302964118,restorativeness,0.02,High,1.0
302964224,restorativeness,0.02,Very High,1.0
302964252,restorativeness,0.02,Very High,1.0
302964263,restorativeness,0.02,Very High,1.0
302964281,restorativeness,0.02,Very High,1.0
302964287,restorativeness,0.02,Very High,1.0
302964815,restorativeness,0.02,Very High,1.0
302964821,restorativeness,0.02,Very High,1.0
302966012,restorativeness,0.02,Very High,1.0
302966023,restorativeness,0.02,Very High,1.0
302966036,restorativeness,0.02,Very High,1.0
302966068,restorativeness,0.02,Very High,1.0
302966075,restorativeness,0.02,Very High,1.0
302966095,restorativeness,0.02,Very High,1.0
303202278,restorativeness,0.02,Very High,1.0
304576406,restorativeness,0.02,Very High,1.0
304576474,restorativeness,0.02,Very High,1.0
304576505,restorativeness,0.02,Very High,1.0
304576529,restorativeness,0.02,Very High,1.0
304576588,restorativeness,0.02,Very High,1.0
304578785,restorativeness,0.02,Very High,1.0
304579917,restorativeness,0.02,Very High,1.0
304579937,restorativeness,0.02,Very High,1.0
304580057,restorativeness,0.02,Very High,1.0
304580241,restorativeness,0.02,Very High,1.0
304580242,restorativeness,0.02,Very High,1.0
304587571,restorativeness,0.02,Very High,1.0
304587695,restorativeness,0.02,Very High,1.0
304587716,restorativeness,0.02,Very High,1.0
304587734,restorativeness,0.02,Very High,1.0
304590295,restorativeness,0.02,Very High,1.0
304591541,restorativeness,0.02,High,0.84
304591556,restorativeness,0.02,High,0.84
304591613,restorativeness,0.02,High,0.62
304591620,restorativeness,0.02,High,1.0
304594774,restorativeness,0.02,Very High,1.0
304594780,restorativeness,0.02,Very High,1.0
304594797,restorativeness,0.02,Very High,1.0
304594812,restorativeness,0.02,Very High,1.0
304594904,restorativeness,0.02,Very High,1.0
304594909,restorativeness,0.02,Very High,1.0
304596685,restorativeness,0.02,Very High,1.0
304596716,restorativeness,0.02,Very High,1.0
304617231,restorativeness,0.02,Very High,1.0
304618715,restorativeness,0.02,Very High,1.0
304618717,restorativeness,0.02,Very High,1.0
304696625,restorativeness,0.02,Very High,1.0
304697331,restorativeness,0.02,Very High,1.0
304697339,restorativeness,0.02,Very High,1.0
304697390,restorativeness,0.02,Very High,1.0
304697393,restorativeness,0.02,Very High,1.0
304698900,restorativeness,0.02,Very High,1.0
304698938,restorativeness,0.02,Very High,1.0
304698973,restorativeness,0.02,Very High,1.0
304698982,restorativeness,0.02,Very High,1.0
304699010,restorativeness,0.02,Very High,1.0
304699026,restorativeness,0.02,Very High,1.0
304699094,restorativeness,0.02,Very High,1.0
304734593,restorativeness,0.02,Very High,1.0
304734635,restorativeness,0.02,Very High,1.0
304734701,restorativeness,0.02,Very High,1.0
304734825,restorativeness,0.02,Very High,1.0
304740408,restorativeness,0.02,Very High,1.0
304742295,restorativeness,0.02,Very High,1.0
304742336,restorativeness,0.02,Very High,1.0
304742344,restorativeness,0.02,Very High,1.0
304742347,restorativeness,0.02,Very High,1.0
304743203,restorativeness,0.02,Very High,1.0
304762056,restorativeness,0.02,Very High,1.0
304762078,restorativeness,0.02,Very High,1.0
304763196,restorativeness,0.02,Very High,1.0
304763199,restorativeness,0.02,Very High,1.0
304763222,restorativeness,0.02,Very High,1.0
304763480,restorativeness,0.02,Very High,1.0
304763503,restorativeness,0.02,Very High,1.0
304763504,restorativeness,0.02,Very High,1.0
304763691,restorativeness,0.02,Very High,1.0
304763694,restorativeness,0.02,Very High,1.0
304764048,restorativeness,0.02,Very High,1.0
304764067,restorativeness,0.02,Very High,1.0
304764101,restorativeness,0.02,Very High,1.0
304764136,restorativeness,0.02,Very High,1.0
306146053,restorativeness,0.02,Very High,0.97
306223499,restorativeness,0.02,Very High,1.0
306223896,restorativeness,0.02,Very High,1.0
306223916,restorativeness,0.02,Very High,1.0
306296872,restorativeness,0.02,Very High,1.0
306296936,restorativeness,0.02,Very High,1.0
306297151,restorativeness,0.02,Very High,1.0
306299195,restorativeness,0.02,Very High,1.0
306299246,restorativeness,0.02,Very High,1.0
309848495,restorativeness,0.02,Very High,1.0
309852361,restorativeness,0.02,Medium,0.99
309852363,restorativeness,0.02,Medium,1.0
309853032,restorativeness,0.02,High,1.0
309853211,restorativeness,0.02,High,0.965
